stream,level,name,description
ARTS AND SCIENCE,UG,BCA (Bachelor of Computer Application),"A 3-year undergraduate degree focusing on computer fundamentals, programming languages, and software development."
ARTS AND SCIENCE,UG,BCA Artificial Intelligence,A specialized BCA program focusing on the principles and applications of creating intelligent machines.
ARTS AND SCIENCE,UG,BCA Artificial Intelligence & Machine Learning,A program combining AI concepts with machine learning algorithms for creating predictive models and systems.
ARTS AND SCIENCE,UG,BCA Data Science,"Focuses on statistical analysis, data visualization, and techniques to extract insights from large datasets."
ARTS AND SCIENCE,UG,BCA Ethical Hacking & Cyber Security,Trains students to identify and fix security vulnerabilities in computer systems and networks.
ARTS AND SCIENCE,UG,BCA Cloud Computing,"A specialization in internet-based computing services, including storage, servers, databases, and software."
ARTS AND SCIENCE,UG,BCA Data Analytics,"Focuses on the process of inspecting, cleansing, transforming, and modeling data to discover useful information."
ARTS AND SCIENCE,UG,BCA Robotics,"A program that integrates computer science with engineering to design, build, and operate robots."
ARTS AND SCIENCE,UG,BCA Game Development,"Specializes in the design, programming, and production of video games for various platforms."
ARTS AND SCIENCE,UG,BCA Web Designing,"Focuses on creating and maintaining websites, covering aspects of graphic design, UI/UX, and scripting."
ARTS AND SCIENCE,UG,BCA Database Management Systems (DBMS),"A specialization in creating, managing, and retrieving data from databases efficiently and securely."
ARTS AND SCIENCE,UG,B.Com (Bachelor of Commerce),"A foundational 3-year degree in commerce, covering subjects like accounting, finance, and economics."
ARTS AND SCIENCE,UG,B.Com Computer Application (CA),An integrated degree that combines commerce subjects with computer applications and information technology.
ARTS AND SCIENCE,UG,B.Com ACCA,A B.Com degree integrated with the curriculum of the Association of Chartered Certified Accountants (ACCA).
ARTS AND SCIENCE,UG,B.Com CMA,A B.Com degree aligned with the curriculum of the Certified Management Accountant (CMA) professional qualification.
ARTS AND SCIENCE,UG,B.Com Aviation Logistics,"A commerce degree specializing in the management of logistics, cargo, and ground operations within the aviation industry."
ARTS AND SCIENCE,UG,B.Com Finance,"A specialization in financial management, investments, banking, and capital markets."
ARTS AND SCIENCE,UG,B.Com Taxation & Auditing,"Focuses on the principles of direct and indirect taxation, auditing procedures, and financial accounting."
ARTS AND SCIENCE,UG,BHA (Bachelor of Hospital Administration),A degree focused on the administrative and management aspects of hospitals and healthcare facilities.
ARTS AND SCIENCE,UG,BHM (Bachelor of Hotel Management),"A program covering all aspects of hotel operations, including front office, housekeeping, and food production."
ARTS AND SCIENCE,UG,BSW (Bachelor of Social Work),"An undergraduate degree that prepares students for a career in social work, focusing on community development and welfare."
ARTS AND SCIENCE,UG,BA English,"A Bachelor of Arts degree focusing on English literature, linguistics, and critical theory."
ARTS AND SCIENCE,UG,BA Economics,"Studies the production, distribution, and consumption of goods and services, including micro and macroeconomics."
ARTS AND SCIENCE,UG,BA Journalism,"Focuses on the skills of reporting, writing, editing, and presenting news for various media."
ARTS AND SCIENCE,UG,BA Psychology,"The scientific study of the mind and behavior, exploring topics like cognitive processes and human development."
ARTS AND SCIENCE,UG,BA Sociology,"The study of social behavior, society, patterns of social relationships, and culture."
ARTS AND SCIENCE,UG,BA Literature,"A broad study of literary works from various cultures and historical periods, emphasizing analysis and interpretation."
ARTS AND SCIENCE,UG,BA Mass Communication,"Covers a wide range of media industries, including journalism, advertising, public relations, and broadcasting."
ARTS AND SCIENCE,UG,BA Criminology,"The study of crime, criminal behavior, and the legal system from a social sciences perspective."
ARTS AND SCIENCE,UG,B.Sc. Animation,"A degree program focusing on 2D and 3D animation, visual effects, and digital art production."
ARTS AND SCIENCE,UG,B.Sc. Aircraft Maintenance Engineering,"A science degree focused on the technical aspects of inspecting, servicing, repairing, and overhauling aircraft."
ARTS AND SCIENCE,UG,B.Sc. Biotechnology,"The study of using living organisms and bioprocesses to create products for medicine, agriculture, and industry."
ARTS AND SCIENCE,UG,B.Sc. Biomedical Science,A science-focused degree exploring the biological and chemical aspects of human health and disease.
ARTS AND SCIENCE,UG,B.Sc. Biochemistry,"The study of chemical processes within and relating to living organisms, combining biology and chemistry."
