name,,,,location,,state
AL AZHAR GROUP OF INSTITUTIONS,,,,Thodupuzha,,Kerala
ILAHIA GROUP OF INSTITUTIONS,,,,Muvattupuzha,,Kerala
YELDO MAR BASELIOS COLLEGE,,,,Kothamangalam,,Kerala
CHINMAYA VISHWA VIDYAPEETH COLLEGE,,,,Kochi,,Kerala
ELIMS GROUP OF INSTITUTIONS,,,,Thrissur,,Kerala
INDIRA GANDHI GROUP OF INSTITUTIONS,,,,Ernamkulam,,Kerala
NAIPUNNYA COLLEGE,,,,Thrissur,,Kerala
JAI BHARATH GROUP OF INSTITUTIONS,,,,Ernamkulam,,Kerala
METS,,,,Thrissur,,Kerala
KMM COLLEGE,,,,Kottayam,,Kerala
COCHIN COLLEGE,,,,Kochi,,Kerala
ALSHIFA  COLLEGE ,,,,Malappuram,,Kerala
